"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","GRADRATE","UPPSRY","PC","A","2013",96.2,
"FIN","GRADRATE","UPPSRY","PC","A","2014",96.9,
"FIN","GRADRATE","UPPSRY","PC","A","2015",98.7,
"FIN","GRADRATE","UPPSRY_MEN","PC","A","2005",89.5,
"FIN","GRADRATE","UPPSRY_MEN","PC","A","2010",91.4,
"FIN","GRADRATE","UPPSRY_MEN","PC","A","2011",95.1,
"FIN","GRADRATE","UPPSRY_MEN","PC","A","2012",91.1,
"FIN","GRADRATE","UPPSRY_MEN","PC","A","2013",92.7,
"FIN","GRADRATE","UPPSRY_MEN","PC","A","2014",93.7,
"FIN","GRADRATE","UPPSRY_MEN","PC","A","2015",95.5,
"FIN","GRADRATE","UPPSRY_WOMEN","PC","A","2005",98.1,
"FIN","GRADRATE","UPPSRY_WOMEN","PC","A","2010",98.8,
"FIN","GRADRATE","UPPSRY_WOMEN","PC","A","2011",100.9,
"FIN","GRADRATE","UPPSRY_WOMEN","PC","A","2012",99.2,
"FIN","GRADRATE","UPPSRY_WOMEN","PC","A","2013",99.8,
"FIN","GRADRATE","UPPSRY_WOMEN","PC","A","2014",100.4,
"FIN","GRADRATE","UPPSRY_WOMEN","PC","A","2015",102,
"FRA","GRADRATE","UPPSRY","PC","A","2005",,"M"
"FRA","GRADRATE","UPPSRY","PC","A","2010",,"M"
"FRA","GRADRATE","UPPSRY","PC","A","2011",,"M"
"FRA","GRADRATE","UPPSRY","PC","A","2012",,"M"
"FRA","GRADRATE","UPPSRY","PC","A","2013",,"M"
"FRA","GRADRATE","UPPSRY","PC","A","2014",,"M"
"FRA","GRADRATE","UPPSRY","PC","A","2015",,"M"
"FRA","GRADRATE","UPPSRY_MEN","PC","A","2005",,"M"
"FRA","GRADRATE","UPPSRY_MEN","PC","A","2010",,"M"
"FRA","GRADRATE","UPPSRY_MEN","PC","A","2011",,"M"
"FRA","GRADRATE","UPPSRY_MEN","PC","A","2012",,"M"
"FRA","GRADRATE","UPPSRY_MEN","PC","A","2013",,"M"
"FRA","GRADRATE","UPPSRY_MEN","PC","A","2014",,"M"
"FRA","GRADRATE","UPPSRY_MEN","PC","A","2015",,"M"
"FRA","GRADRATE","UPPSRY_WOMEN","PC","A","2005",,"M"
"FRA","GRADRATE","UPPSRY_WOMEN","PC","A","2010",,"M"
"FRA","GRADRATE","UPPSRY_WOMEN","PC","A","2011",,"M"
"FRA","GRADRATE","UPPSRY_WOMEN","PC","A","2012",,"M"
"FRA","GRADRATE","UPPSRY_WOMEN","PC","A","2013",,"M"
"FRA","GRADRATE","UPPSRY_WOMEN","PC","A","2014",,"M"
"FRA","GRADRATE","UPPSRY_WOMEN","PC","A","2015",,"M"
"DEU","GRADRATE","UPPSRY","PC","A","2005",78.4,
"DEU","GRADRATE","UPPSRY","PC","A","2010",82.9,
"DEU","GRADRATE","UPPSRY","PC","A","2011",,"M"
"DEU","GRADRATE","UPPSRY","PC","A","2012",,"M"
"DEU","GRADRATE","UPPSRY","PC","A","2013",91.7,
"DEU","GRADRATE","UPPSRY","PC","A","2014",90.7,
"DEU","GRADRATE","UPPSRY","PC","A","2015",86.6,
"DEU","GRADRATE","UPPSRY_MEN","PC","A","2005",78.8,
"DEU","GRADRATE","UPPSRY_MEN","PC","A","2010",79.5,
"DEU","GRADRATE","UPPSRY_MEN","PC","A","2011",,"M"
"DEU","GRADRATE","UPPSRY_MEN","PC","A","2012",,"M"
"DEU","GRADRATE","UPPSRY_MEN","PC","A","2013",92.4,
"DEU","GRADRATE","UPPSRY_MEN","PC","A","2014",91.7,
"DEU","GRADRATE","UPPSRY_MEN","PC","A","2015",87.2,
"DEU","GRADRATE","UPPSRY_WOMEN","PC","A","2005",78,
"DEU","GRADRATE","UPPSRY_WOMEN","PC","A","2010",86.4,
"DEU","GRADRATE","UPPSRY_WOMEN","PC","A","2011",,"M"
"DEU","GRADRATE","UPPSRY_WOMEN","PC","A","2012",,"M"
"DEU","GRADRATE","UPPSRY_WOMEN","PC","A","2013",90.9,
"DEU","GRADRATE","UPPSRY_WOMEN","PC","A","2014",89.5,
"DEU","GRADRATE","UPPSRY_WOMEN","PC","A","2015",86,
"GRC","GRADRATE","UPPSRY","PC","A","2005",95.2,
"GRC","GRADRATE","UPPSRY","PC","A","2010",88.1,
"GRC","GRADRATE","UPPSRY","PC","A","2011",64.4,
"GRC","GRADRATE","UPPSRY","PC","A","2012",70,
"GRC","GRADRATE","UPPSRY","PC","A","2013",,"M"
"GRC","GRADRATE","UPPSRY","PC","A","2014",,"M"
"GRC","GRADRATE","UPPSRY","PC","A","2015",,"M"
"GRC","GRADRATE","UPPSRY_MEN","PC","A","2005",92.9,
"GRC","GRADRATE","UPPSRY_MEN","PC","A","2010",86.5,
"GRC","GRADRATE","UPPSRY_MEN","PC","A","2011",56.9,
"GRC","GRADRATE","UPPSRY_MEN","PC","A","2012",63.8,
"GRC","GRADRATE","UPPSRY_MEN","PC","A","2013",,"M"
"GRC","GRADRATE","UPPSRY_MEN","PC","A","2014",,"M"
"GRC","GRADRATE","UPPSRY_MEN","PC","A","2015",,"M"
"GRC","GRADRATE","UPPSRY_WOMEN","PC","A","2005",97.5,
"GRC","GRADRATE","UPPSRY_WOMEN","PC","A","2010",89.9,
"GRC","GRADRATE","UPPSRY_WOMEN","PC","A","2011",72.3,
"GRC","GRADRATE","UPPSRY_WOMEN","PC","A","2012",76.4,
"GRC","GRADRATE","UPPSRY_WOMEN","PC","A","2013",,"M"
"GRC","GRADRATE","UPPSRY_WOMEN","PC","A","2014",,"M"
"GRC","GRADRATE","UPPSRY_WOMEN","PC","A","2015",,"M"
"HUN","GRADRATE","UPPSRY","PC","A","2005",84.4,
"HUN","GRADRATE","UPPSRY","PC","A","2010",85.8,
"HUN","GRADRATE","UPPSRY","PC","A","2011",86.3,
"HUN","GRADRATE","UPPSRY","PC","A","2012",92.2,
"HUN","GRADRATE","UPPSRY","PC","A","2013",83.4,
"HUN","GRADRATE","UPPSRY","PC","A","2014",87.8,
"HUN","GRADRATE","UPPSRY","PC","A","2015",85.7,
"HUN","GRADRATE","UPPSRY_MEN","PC","A","2005",81.1,
"HUN","GRADRATE","UPPSRY_MEN","PC","A","2010",82.1,
"HUN","GRADRATE","UPPSRY_MEN","PC","A","2011",83,
"HUN","GRADRATE","UPPSRY_MEN","PC","A","2012",92.3,
"HUN","GRADRATE","UPPSRY_MEN","PC","A","2013",81.7,
"HUN","GRADRATE","UPPSRY_MEN","PC","A","2014",85,
"HUN","GRADRATE","UPPSRY_MEN","PC","A","2015",85.2,
"HUN","GRADRATE","UPPSRY_WOMEN","PC","A","2005",87.8,
