Country,Year2000,Year2001,Year2002,Year2003,Year2004,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016,Year2016-Year2000,CountryName
ESP,17.16196137,17.16196137,17.16196137,17.16196137,17.16196137,17.16196137,13.53333333,13.53333333,13.53333333,13.53333333,13.50446429,13.50446429,13.50446429,13.50446429,11.54049762,11.54049762,11.54049762,5.621463749,Spain
SWE,15.49573211,16.59149485,15.8579131,16.00508098,15.32059186,14.44411148,14.58948612,16.36363636,15.38904899,14.91743633,14.32126071,15.93451569,15.13586957,13.42049093,13.42049093,13.42049093,13.42049093,2.07524118,Sweden
CHE,23.78714118,23.78714118,22.80161943,22.80161943,22.012478,22.012478,21.31813213,21.31813213,21.30750605,21.30750605,20.05359536,20.05359536,19.34352644,19.34352644,16.94074284,16.94074284,16.94074284,6.846398337,Switzerland
TUR,3.206997085,3.206997085,3.206997085,3.206997085,3.206997085,3.206997085,3.206997085,3.206997085,3.206997085,3.206997085,3.10421286,3.10421286,3.10421286,3.10421286,6.882591093,6.882591093,6.882591093,-3.675594009,Turkey
GBR,26.28031382,25.63964591,24.37909945,24.12446709,23.35874097,22.06395819,21.71808403,21.6347807,21.85786912,20.68629596,19.23143692,18.2460052,17.78388278,17.48201439,17.38274257,17.10155148,16.83973693,9.440576886,United Kingdom
USA,23.08892356,23.58208955,22.09131075,20.57553957,19.63534362,18.97506925,19.24629879,19.84334204,20.05012531,19.78021978,18.81067961,17.78846154,19.08665105,17.90697674,17.45120551,18.88268156,18.1420765,4.946847054,United States
CHL,3.958415842,3.958415842,3.958415842,3.958415842,3.958415842,3.958415842,3.958415842,3.958415842,3.958415842,9.090909091,9.090909091,16,16,16.66666667,16.66666667,21.05263158,21.05263158,-17.09421574,Chile
EST,25.00065194,25.00065194,25.00065194,25.00065194,25.00065194,25.00065194,29.6875,29.6875,29.6875,29.6875,27.79783394,27.79783394,27.79783394,27.79783394,28.33935018,28.33935018,28.33935018,-3.33869824,Estonia
ISR,28.10349985,28.10349985,24.52009598,24.61492448,25.46195257,22.35153686,22.01591512,21.1606511,22.02600958,20.26863667,20.70009212,21.82741117,21.82741117,21.82741117,21.82741117,21.82741117,21.82741117,6.276088682,Israel
SVN,9.405241223,9.405241223,9.405241223,9.405241223,9.405241223,9.405241223,7.220573689,7.220573689,7.220573689,7.220573689,0.991735537,0.991735537,0.991735537,0.991735537,4.996271439,4.996271439,4.996271439,4.408969784,Slovenia
MEX,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,18.60465116,12.5,22.22222222,16.66666667,11.62790698,10,13.55555556,15.43340381,18.3,16.66666667,16.49224806,0.174418605,Mexico
LVA,18.91955557,18.91955557,18.91955557,18.91955557,18.91955557,18.91955557,10.99195711,10.99195711,10.99195711,10.99195711,19.05564924,19.05564924,19.05564924,19.05564924,21.12299465,21.12299465,21.12299465,-2.203439079,Latvia
COL,1.339317018,1.339317018,1.339317018,1.339317018,1.339317018,1.339317018,1.339317018,1.339317018,1.739690722,3.384675171,6.430555556,3.534808419,8.197946776,7.142857143,9.6,11.14171573,11.14171573,-9.80239871,Colombia
World Average,17.20244893,17.12297694,16.6576588,16.16387011,15.79308886,15.40307947,14.90367062,14.9227371,14.98873144,14.72734655,14.17785048,14.04114201,14.2290885,14.38754521,14.15238398,14.21927542,14.21880241,2.98364652,World Average
