"ID","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes"
"66","CAN","EMP","WOMEN","PC_WKGPOP","A",2016,69.70834,""
"67","CAN","WAGEGAP","TOT","PC_MENWAGE","A",1997,24.705882353,NA
"68","CAN","WAGEGAP","TOT","PC_MENWAGE","A",1998,24.855491329,NA
"69","CAN","WAGEGAP","TOT","PC_MENWAGE","A",1999,24,NA
"70","CAN","WAGEGAP","TOT","PC_MENWAGE","A",2000,23.875,NA
"71","CAN","WAGEGAP","TOT","PC_MENWAGE","A",2001,24.324579125,NA
"72","CAN","WAGEGAP","TOT","PC_MENWAGE","A",2002,24.013157895,NA
"73","CAN","WAGEGAP","TOT","PC_MENWAGE","A",2003,22.502340337,NA
"74","CAN","WAGEGAP","TOT","PC_MENWAGE","A",2004,22.717948718,NA
"75","CAN","WAGEGAP","TOT","PC_MENWAGE","A",2005,21.25,NA
"76","CAN","WAGEGAP","TOT","PC_MENWAGE","A",2006,21.123321123,NA
"77","CAN","WAGEGAP","TOT","PC_MENWAGE","A",2007,20.808235294,NA
"78","CAN","WAGEGAP","TOT","PC_MENWAGE","A",2008,20.454545455,NA
"79","CAN","WAGEGAP","TOT","PC_MENWAGE","A",2009,20.131868132,NA
"80","CAN","WAGEGAP","TOT","PC_MENWAGE","A",2010,18.977469671,NA
"81","CAN","WAGEGAP","TOT","PC_MENWAGE","A",2011,19.175531915,NA
"82","CAN","WAGEGAP","TOT","PC_MENWAGE","A",2012,19.511231281,NA
"83","CAN","WAGEGAP","TOT","PC_MENWAGE","A",2013,19.30323498,NA
"84","CAN","WAGEGAP","TOT","PC_MENWAGE","A",2014,19.229,NA
"85","CAN","WAGEGAP","TOT","PC_MENWAGE","A",2015,18.62745098,NA
"86","CAN","WAGEGAP","SELFEMPLOYED","PC_MENWAGE","A",2003,35.79,NA
"87","CAN","WAGEGAP","SELFEMPLOYED","PC_MENWAGE","A",2004,37.523,NA
"88","CAN","WAGEGAP","SELFEMPLOYED","PC_MENWAGE","A",2005,39.57,NA
"89","CAN","WAGEGAP","SELFEMPLOYED","PC_MENWAGE","A",2006,41.076,NA
"90","CAN","WAGEGAP","SELFEMPLOYED","PC_MENWAGE","A",2007,44.313,NA
"91","CAN","WAGEGAP","SELFEMPLOYED","PC_MENWAGE","A",2008,46.347,NA
"92","CAN","WAGEGAP","SELFEMPLOYED","PC_MENWAGE","A",2009,42.105,NA
"93","CAN","WAGEGAP","SELFEMPLOYED","PC_MENWAGE","A",2010,42.857,NA
"94","CAN","WAGEGAP","SELFEMPLOYED","PC_MENWAGE","A",2011,50.12,NA
"95","CAN","WAGEGAP","SELFEMPLOYED","PC_MENWAGE","A",2012,38.889,NA
"96","CAN","WAGEGAP","SELFEMPLOYED","PC_MENWAGE","A",2013,43.25,NA
"97","CAN","WAGEGAP","SELFEMPLOYED","PC_MENWAGE","A",2014,40.657,NA
